Site_Number,Sampling_Area,Notes,Cover_Type,Cover_Class_Name,Cover_Percent
1006,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Balsamorhiza sagittata,50
1006,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,15
1006,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,20
1006,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1007,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Balsamorhiza sagittata,30
1007,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,10
1007,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,55
1007,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1008,ALMO: Almont Triangle South,"Cover for Tetradymia canescens inititally missing, filled from cover table photo.",Live Vegetation - Named Species,Asteraceae-Balsamorhiza sagittata,55
1008,ALMO: Almont Triangle South,"Cover for Tetradymia canescens inititally missing, filled from cover table photo.",Live Vegetation - Named Species,Asteraceae-Chrysothamnus depressus,10
1008,ALMO: Almont Triangle South,"Cover for Tetradymia canescens inititally missing, filled from cover table photo.",Live Vegetation - Named Species,Asteraceae-Tetradymia canescens,10
1008,ALMO: Almont Triangle South,"Cover for Tetradymia canescens inititally missing, filled from cover table photo.",Live Vegetation - Other Species,Other Deciduous Shrub ,5
1008,ALMO: Almont Triangle South,"Cover for Tetradymia canescens inititally missing, filled from cover table photo.",Other Cover Types,Nonvegetated Dirt ,15
1008,ALMO: Almont Triangle South,"Cover for Tetradymia canescens inititally missing, filled from cover table photo.",Other Cover Types,Non-Photosynthetic Vegetation,5
1009,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Wyethia amplexicaulis,30
1009,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,20
1009,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Graminoid ,5
1009,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,30
1009,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1010,ALMO: Almont Triangle South,"low-NDVI outlier, likely due to low cover just outside of plot. Reduced PV cover by 10% and boosted NPV by 10% after reviewing photo",Live Vegetation - Named Species,Asteraceae-Balsamorhiza sagittata,15
1010,ALMO: Almont Triangle South,"low-NDVI outlier, likely due to low cover just outside of plot. Reduced PV cover by 10% and boosted NPV by 10% after reviewing photo",Live Vegetation - Named Species,Polemoniaceae-Phlox multiflora,10
1010,ALMO: Almont Triangle South,"low-NDVI outlier, likely due to low cover just outside of plot. Reduced PV cover by 10% and boosted NPV by 10% after reviewing photo",Live Vegetation - Named Species,Asteraceae-Chrysothamnus depressus,20
1010,ALMO: Almont Triangle South,"low-NDVI outlier, likely due to low cover just outside of plot. Reduced PV cover by 10% and boosted NPV by 10% after reviewing photo",Live Vegetation - Other Species,Other Graminoid ,5
