Location_Type,Sampling_Area,Site_Number,Collection_Date,Collection_Time,Vegetation_Height,Vegetation_Species,Photo_Shrub,Photo_Landscape_North,Photo_Landscape_East,Photo_Landscape_South,Photo_Landscape_West,Shrub_Notes
shrub,Ad Hoc Site,1592,2025-07-18,12:30:00,215,Sapindaceae-Acer glabrum,./Shrub_FieldPhotographs.zip/1592_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1592_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1592_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1592_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1592_Shrub_Landscape_FacingWest.jpg,NA
shrub,Ad Hoc Site,1591,2025-07-18,12:16:00,117,Cornaceae-Cornus sericea,./Shrub_FieldPhotographs.zip/1591_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1591_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1591_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1591_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1591_Shrub_Landscape_FacingWest.jpg,NA
shrub,Ad Hoc Site,1590,2025-07-18,12:09:00,137,Viburnaceae-Sambucus racemosa,./Shrub_FieldPhotographs.zip/1590_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1590_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1590_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1590_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1590_Shrub_Landscape_FacingWest.jpg,NA
shrub,Ad Hoc Site,1589,2025-07-18,11:43:00,105,Rosaceae-Holodiscus discolor,./Shrub_FieldPhotographs.zip/1589_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1589_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1589_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1589_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1589_Shrub_Landscape_FacingWest.jpg,NA
shrub,Ad Hoc Site,1588,2025-07-18,11:30:00,128,Grossulariaceae-Ribes cereum,./Shrub_FieldPhotographs.zip/1588_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1588_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1588_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1588_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1588_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Upper (RU),1587,2025-07-14,10:41:00,68,Rosaceae-Dasiphora fruticosa,./Shrub_FieldPhotographs.zip/1587_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1587_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1587_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1587_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1587_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Upper (RU),1586,2025-07-14,10:33:00,94,Cupressaceae-Juniperus communis,./Shrub_FieldPhotographs.zip/1586_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1586_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1586_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1586_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1586_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Upper (RU),1585,2025-07-14,10:20:00,295,Salicaceae-Salix drummondiana,./Shrub_FieldPhotographs.zip/1585_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1585_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1585_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1585_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1585_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Upper (RU),1584,2025-07-14,10:12:00,141,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1584_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1584_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1584_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1584_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1584_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Upper (RU),1583,2025-07-14,9:59:00,79,Betulaceae-Betula glandulosa,./Shrub_FieldPhotographs.zip/1583_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1583_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1583_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1583_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1583_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Upper (RU),1582,2025-07-14,9:50:00,85,Rosaceae-Dasiphora fruticosa,./Shrub_FieldPhotographs.zip/1582_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1582_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1582_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1582_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1582_Shrub_Landscape_FacingWest.jpg,NA
