Location_Type,Sampling_Area,Site_Number,Collection_Date,Collection_Time,Vegetation_Species,Cones_Present,Stem_Height,Stem_DBH,Crown_Class,Health_Status,Damage_Mode,Trunk_Wound,Crown_Remaining,Leaves_Remaining,Terrain_Aspect,Photo_Tag,Photo_Tree,Tree_Notes
forest,Ad Hoc Site,1993,7/30/2025,11:53:00,Pinaceae-Pinus ponderosa,Yes,7.4,38.8,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,98,335,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_553592443688a9fe71ad6a.jpg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1057804992688a9fe750f44.jpg,NA
forest,Ad Hoc Site,1994,7/30/2025,11:38:00,Pinaceae-Pinus ponderosa,Yes,5.8,40.1,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,95,330,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_891470920688a9fe3a72a0.jpg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1431218023688a9fe405341.jpg,NA
forest,Ad Hoc Site,1995,7/30/2025,11:29:00,Pinaceae-Pinus ponderosa,Yes,9.8,43.9,D: Dominant,S: standing,NA,0 = no visible trunk wound,95,90,220,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1537139599688a9fe01f0de.jpg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1137948859688a9fe04be2d.jpg,NA
forest,Ad Hoc Site,1996,7/30/2025,10:48:00,Pinaceae-Pinus ponderosa,Yes,14.6,43.5,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,95,235,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1292127731688a9fdc6c2c8.jpg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1366381430688a9fdca8aaa.jpg,NA
forest,Ad Hoc Site,1997,7/30/2025,10:23:00,Pinaceae-Pinus ponderosa,Yes,9.5,41,D: Dominant,S: standing,NA,0 = no visible trunk wound,95,100,350,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_432982664688a9fd9426d0.jpg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1300775861688a9fd978b2b.jpg,NA
forest,Ad Hoc Site,1998,7/30/2025,10:08:00,Pinaceae-Pinus ponderosa,Yes,7,34.5,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,85,55,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_2015122491688a9fd506975.jpg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1726420408688a9fd6385ff.jpg,NA
forest,Ad Hoc Site,1999,7/30/2025,9:49:00,Pinaceae-Pinus ponderosa,NA,10.4,53.4,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,95,5,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_177938836688a9fd131263.jpg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_49294031688a9fd1added.jpg,NA
forest,Ad Hoc Site,2000,7/30/2025,9:24:00,Pinaceae-Pinus ponderosa,Yes,10.8,58.4,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,95,90,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_830515756688a9fcddfd16.jpg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1458163589688a9fce383ac.jpg,NA
forest,CRBU: South Baldy (SB),1923,7/23/2025,11:40:00,Pinaceae-Abies lasiocarpa,No,19.9,46.3,C: Codominant,S: standing,NA,0 = no visible trunk wound,100,100,325,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_20828223666884d49b2c597.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_15062111946884d49c2b96b.jpeg,NA
forest,CRBU: South Baldy (SB),1922,7/23/2025,11:31:00,Pinaceae-Picea engelmannii,Yes,10.2,33.1,D: Dominant,S: standing,Other (make observations in notes field),0 = no visible trunk wound,100,100,180,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_3303402786884d49643404.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_10507388326884d49762c08.jpeg,"dbh 2 in above tag, lots of sap"
