Collected_date,Sample_label,Sampling_area,Site_number_or_spp,Entered_by,Determination_date,Taxon_Species,Taxon_Family,Taxon_label,Key,ID_by,Notes
6/14/25,AS-9017-VOUCHER,AS,9017,IKB,6/19/25,Festuca thurberi,Poaceae,Poaceae-Festuca thurberi,Grasses of Colorado,AH,
6/14/25,AS-1408-VOUCHER,AS,1408,IKB,6/19/25,Amelanchier alnifolia,Rosaceae,Rosaceae-Amelanchier alnifolia,Flora of Colorado,"IKB, HX",Ackerfield treats A. utahensis as ssp
6/14/25,AS-9033-VOUCHER,AS,9033,IKB,6/16/25,Packera neomexicana,Asteraceae,Asteraceae-Packera neomexicana,Flora of Colorado,HX,
6/14/25,AS-1409-VOUCHER,AS,1409,IKB,6/19/25,Amelanchier alnifolia,Rosaceae,Rosaceae-Amelanchier alnifolia,Flora of Colorado,"IKB, HX",Ackerfield treats A. utahensis as ssp
6/15/25,AN-1423-VOUCHER,AN,1423,IKB,7/1/25,Salix monticola,Salicaceae,Salicaceae-Salix monticola,Willows of Colorado,"HX, CFW",
6/15/25,AN-9034-VOUCHER,AN,9034,IKB,6/19/25,Achnatherium hymenoides,Poaceae,Poaceae-Achnatherium hymenoides,Grasses of Colorado,"HX, CFW",
6/16/25,SC-9016-VOUCHER,SC,9016,IKB,6/16/25,Solidago velutina,Asteraceae,Asteraceae-Solidago velutina,Flora of Colorado,"HX, CFW",
6/16/25,SC-9032-VOUCHER,SC,9032,IKB,6/16/25,Geum aleppicum,Rosaceae,Rosaceae-Geum aleppicum,Flora of Colorado,"HX, CFW",
6/16/25,SC-9031-VOUCHER,SC,9031,IKB,6/16/25,,Poaceae,Poaceae-Unknown sp.,Grasses of Colorado,"HX, CFW",Not Poa
6/18/25,OU-1437-VOUCHER,OU,1437,IKB,7/1/25,Salix monticola,Salicaceae,Salicaceae-Salix monticola,Willows of Colorado,"HX, CFW",
6/18/25,OU-1442-VOUCHER,OU,1442,IKB,7/1/25,Salix monticola,Salicaceae,Salicaceae-Salix monticola,Willows of Colorado,"HX, CFW",
6/18/25,OU-1445-VOUCHER,OU,1445,IKB,7/1/25,Salix monticola,Salicaceae,Salicaceae-Salix monticola,Willows of Colorado,"HX, CFW",
6/18/25,OU-1438-VOUCHER,OU,1438,IKB,7/1/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Willows of Colorado,"HX, CFW",
6/18/25,OU-1439-VOUCHER,OU,1439,IKB,7/1/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Willows of Colorado,"HX, CFW",
6/18/25,OU-1440-VOUCHER,OU,1440,IKB,7/1/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Willows of Colorado,"HX, CFW",
6/18/25,OU-1446-VOUCHER,OU,1446,IKB,6/19/25,Lonicera involucrata,Caprifoliaceae,Caprifoliaceae-Lonicera involucrata,Flora of Colorado,"IKB, HX",
6/18/25,OU-9015-VOUCHER,OU,9015,IKB,6/19/25,Festuca saximontana,Poaceae,Poaceae-Festuca saximontana,Grasses of Colorado,HX,
6/23/25,UU-1450-VOUCHER,UU,1450,IKB,7/30/25,Salix scouleriana,Salicaceae,Salicaceae-Salix scouleriana,Intermountain Flora,"HX, WG",
6/26/25,GO-9012-VOUCHER,GO,9012,IKB,6/30/25,Bromopsis inermis,Poaceae,Poaceae-Bromopsis inermis,Grasses of Colorado,"HX, CFW",syn. Bromus inermis
6/26/25,GO-9024-VOUCHER,GO,9024,IKB,6/30/25,Carex praticola,Cyperaceae,Cyperaceae-Carex praticola,Sedges of Colorado,"HX, CFW",
6/26/25,GO-9013-VOUCHER,GO,9013,IKB,6/30/25,Achnatherum lettermanii,Poaceae,Poaceae-Achnatherum lettermanii,Grasses of Colorado,"HX, CFW",
6/26/25,GO-1468-VOUCHER,GO,1468,IKB,7/30/25,Salix monticola,Salicaceae,Salicaceae-Salix monticola,Intermountain Flora,"HX, WG",
6/26/25,GO-1473-VOUCHER,GO,1473,IKB,7/24/25,Salix drummondiana,Salicaceae,Salicaceae-Salix drummondiana,Intermountain Flora,"HX, WG", 
6/26/25,GO-1474-VOUCHER,GO,1474,IKB,7/24/25,Salix drummondiana,Salicaceae,Salicaceae-Salix drummondiana,Intermountain Flora,"HX, WG",
6/26/25,GO-1476-VOUCHER,GO,1476,IKB,7/24/25,Salix drummondiana,Salicaceae,Salicaceae-Salix drummondiana,Intermountain Flora,"HX, WG",
6/28/25,SN-9030-VOUCHER,SN,9030,IKB,6/30/25,Carex hoodii,Cyperaceae,Cyperaceae-Carex hoodii,Sedges of Colorado,"HX, CFW",
6/28/25,SN-9018-VOUCHER,SN,9018,IKB,6/30/25,Carex praticola,Cyperaceae,Cyperaceae-Carex praticola,Sedges of Colorado,"HX, CFW",
6/28/25,SN-1461-VOUCHER,SN,1461,IKB,7/30/25,Salix monticola,Salicaceae,Salicaceae-Salix monticola,Intermountain Flora,"HX, WG",
6/28/25,SN-1460-VOUCHER,SN,1460,IKB,7/30/25,Salix monticola,Salicaceae,Salicaceae-Salix monticola,Intermountain Flora,"HX, WG",
6/29/25,TL-1486-VOUCHER,TL,1486,IKB,6/30/25,Ribes inerme,Grossulariaceae,Grossulariaceae-Ribes inerme,Flora of Colorado,HX,
6/29/25,TL-1477-VOUCHER,TL,1477,IKB,7/28/25,Salix planifolia,Salicaceae,Salicaceae-Salix planifolia,Intermountain Flora,"HX, WG, WB, TB",
6/29/25,TL-9014-VOUCHER,TL,9014,IKB,6/30/25,Eucephalus engelmannii,Asteraceae,Asteraceae-Eucephalus engelmannii,Flora of Colorado,"IKB, HX",
6/30/25,SL-9011-VOUCHER,SL,9011,IKB,6/30/25,Carex aquatilis,Cyperaceae,Cyperaceae-Carex aquatilis,Sedges of Colorado,"HX, CFW",
6/30/25,SL-9003-VOUCHER,SL,9003,IKB,6/30/25,Deschampsia cespitosa,Poaceae,Poaceae-Deschampsia cespitosa,Grasses of Colorado,"HX, CFW",
6/30/25,SL-1496-VOUCHER,SL,1496,IKB,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
6/30/25,SL-1495-VOUCHER,SL,1495,IKB,7/28/25,Salix planifolia,Salicaceae,Salicaceae-Salix planifolia,Intermountain Flora,"HX, WG, WB, TB",
6/30/25,SL-1492-VOUCHER,SL,1492,IKB,7/28/25,Salix planifolia,Salicaceae,Salicaceae-Salix planifolia,Intermountain Flora,"HX, WG, WB, TB",
6/30/25,SL-1491-VOUCHER,SL,1491,IKB,7/24/25,Salix glauca,Salicaceae,Salicaceae-Salix glauca,Intermountain Flora,"HX, WG",
6/30/25,SL-1489-VOUCHER,SL,1489,IKB,7/28/25,Salix planifolia,Salicaceae,Salicaceae-Salix planifolia,Intermountain Flora,"HX, WG, WB, TB",
6/30/25,SL-1488-VOUCHER,SL,1488,IKB,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/1/25,SB-LUPARG-VOUCHER,SB,LUPARG,,7/7/25,Lupinus argenteus,Fabaceae,Fabaceae-Lupinus argenteus,Flora of Colorado,HX,
7/1/25,SB-VACCES-VOUCHER,SB,VACCES,,7/7/25,Vaccinium cespitosum,Ericaceae,Ericaceae-Vaccinium cespitosum,Flora of Colorado,HX,
7/1/25,SB-1502-VOUCHER,SB,1502,,7/30/25,Salix monticola,Salicaceae,Salicaceae-Salix monticola,Intermountain Flora,"HX, WG",
7/1/25,SB-1499-VOUCHER,SB,1499,,7/30/25,Salix monticola,Salicaceae,Salicaceae-Salix monticola,Intermountain Flora,"HX, WG",
7/1/25,SB-1498-VOUCHER,SB,1498,,7/30/25,Salix monticola,Salicaceae,Salicaceae-Salix monticola,Intermountain Flora,"HX, WG",
7/6/25,PB-9021-VOUCHER,PB,9021,,7/7/25,Deschampsia cespitosa,Poaceae,Poaceae-Deschampsia cespitosa,Grasses of Colorado,HX,
7/6/25,PB-9022-VOUCHER,PB,9022,,7/7/25,Deschampsia cespitosa,Poaceae,Poaceae-Deschampsia cespitosa,Grasses of Colorado,HX,
7/6/25,PB-9050-VOCHER,PB,9050,,7/7/25,Carex pachystachya,Cyperaceae,Cyperaceae-Carex pachystachya,Sedges of Colorado,HX,
7/6/25,PB-9020-VOUCHER,PB,9020,,7/7/25,Carex pachystachya,Cyperaceae,Cyperaceae-Carex pachystachya,Sedges of Colorado,HX,
7/6/25,PB-9029-VOUCHER,PB,9029,,7/7/25,Carex aquatilis,Cyperaceae,Cyperaceae-Carex aquatilis,Sedges of Colorado,HX,
7/6/25,PB-9028-VOUCHER,PB,9028,,7/24/25,Salix glauca,Salicaceae,Salicaceae-Salix glauca,Intermountain Flora,"HX, WG",
